image, x pos., y pos., width, height:
# faces: 0
# profiles: 0
['24_1', 186, 268, 348, 348]
['25_0', 353, 295, 359, 359]
['25_1', 427, 169, 147, 147]
['26_0', 409, 199, 137, 137]
['27_0', 1056, 336, 68, 68]
['27_0', 1233, 346, 60, 60]
['27_0', 1551, 427, 47, 47]
['27_0', 1382, 423, 54, 54]
['27_0', 664, 215, 89, 89]
['27_0', 537, 371, 57, 57]
['27_1', 153, 449, 106, 106]
['27_1', 464, 306, 125, 125]
['27_1', 763, 312, 129, 129]
['28_0', 543, 257, 40, 40]
['28_2', 554, 335, 43, 43]
['29_1', 517, 278, 44, 44]
['29_2', 248, 236, 66, 66]
['29_3', 496, 245, 68, 68]
['29_4', 285, 231, 68, 68]
['30_0', 805, 303, 60, 60]
['30_0', 529, 295, 64, 64]
['30_0', 232, 284, 101, 101]
['30_0', 936, 352, 66, 66]
['30_0', 1031, 365, 68, 68]
['30_0', 323, 437, 109, 109]
['30_0', 782, 209, 52, 52]
['30_0', 948, 236, 53, 53]
['30_0', 1203, 388, 87, 87]
['30_0', 1334, 445, 92, 92]
['30_0', 1560, 451, 94, 94]
['30_0', 399, 261, 82, 82]
['30_0', 213, 512, 108, 108]
['30_0', 662, 279, 74, 74]
['30_1', 315, 668, 101, 101]
['31_0', 894, 331, 83, 83]
['31_0', 1486, 344, 82, 82]
['31_0', 757, 338, 87, 87]
['31_0', 1532, 404, 93, 93]
['31_0', 1037, 91, 67, 67]
['31_0', 1229, 97, 64, 64]
['31_0', 1348, 111, 70, 70]
['31_0', 587, 127, 83, 83]
['31_0', 477, 405, 43, 43]
['31_0', 756, 117, 62, 62]
['31_0', 506, 370, 89, 89]
['31_0', 1747, 365, 97, 97]
['31_0', 1491, 127, 70, 70]
['31_0', 932, 138, 63, 63]
['31_0', 278, 389, 83, 83]
['31_0', 1147, 140, 69, 69]
['31_0', 1690, 136, 78, 78]
['31_0', 808, 147, 75, 75]
['31_0', 1029, 170, 70, 70]
['31_0', 1301, 175, 72, 72]
['31_0', 464, 196, 86, 86]
['31_0', 664, 198, 68, 68]
['31_0', 1494, 221, 85, 85]
['31_0', 1015, 261, 69, 69]
['31_0', 825, 244, 71, 71]
['31_0', 1225, 249, 76, 76]
['31_0', 1104, 258, 90, 90]
['31_0', 1291, 307, 90, 90]
['31_0', 238, 281, 90, 90]
['31_0', 1668, 284, 87, 87]
['31_0', 453, 297, 84, 84]
['31_0', 133, 333, 83, 83]
['31_1', 669, 13, 72, 72]
['31_1', 512, 14, 73, 73]
['31_1', 624, 840, 50, 50]
['31_1', 356, 70, 65, 65]
['31_1', 1034, 103, 93, 93]
['31_1', 438, 144, 80, 80]
['31_1', 831, 155, 84, 84]
['31_1', 1226, 183, 80, 80]
['31_1', 692, 187, 83, 83]
['31_1', 492, 236, 85, 85]
['31_1', 181, 191, 84, 84]
['31_1', 928, 208, 86, 86]
['31_1', 282, 217, 89, 89]
['31_1', 1106, 227, 92, 92]
['31_1', 605, 200, 86, 86]
['32_0', 243, 146, 171, 171]
['32_0', 404, 126, 170, 170]
['32_1', 495, 272, 44, 44]
['32_2', 308, 377, 72, 72]
['32_2', 309, 116, 78, 78]
['32_2', 97, 388, 62, 62]
['32_2', 192, 172, 83, 83]
['32_3', 160, 270, 50, 50]
['32_3', 532, 272, 50, 50]
['32_3', 431, 279, 47, 47]
['32_3', 250, 285, 43, 43]
['32_3', 365, 252, 50, 50]
['32_3', 891, 278, 49, 49]
['32_3', 305, 281, 49, 49]
['32_3', 1167, 288, 63, 63]
['32_3', 653, 295, 50, 50]
['32_3', 933, 161, 46, 46]
['32_3', 1065, 154, 48, 48]
['32_3', 275, 169, 45, 45]
['32_3', 112, 442, 43, 43]
['32_3', 318, 441, 44, 44]
['32_3', 427, 374, 51, 51]
['32_3', 239, 396, 50, 50]
